Type_of_water,Brine,Location,Li_gL,Mg_gL,Na_gL,K_gL,Ca_gL,SO4_gL,Cl_gL,MLR,TDS_gL
Oil field brine,Qianjiang Formation 69,"Jianghan Basin, China",0.065,0.1,118.66,0.934,0.37,7.17,179.08,1.5384615384615383,306.7
Oil field brine,Qianjiang Formation 70,"Jianghan Basin, China",0.0218,0.09422,114.55920000000002,0.59334,0.05356,23.5008,172.6064,4.322018348623853,312.0586343593601
Oil field brine,Qianjiang Formation 71,"Jianghan Basin, China",0.06,0.13,103.17,0.65,0.01,7.65,155.0,2.166666666666667,267.5
Oil field brine,Qianjiang Formation 72,"Jianghan Basin, China",0.03458,0.10028,68.8328,1.41904,1.16076,2.0235,103.262,2.899942163100058,177.555406884
Oil field brine,Qianjiang Formation 73,"Jianghan Basin, China",0.055,0.05,125.4,1.58,0.51,10.0,188.0,0.9090909090909092,326.0
Oil field brine,Qianjiang Formation 74,"Jianghan Basin, China",0.04,0.26,98.66,0.839,0.13,9.37,147.86,6.5,259.0
Oil field brine,Qianjiang Formation 75,"Jianghan Basin, China",0.06,0.11,106.29,0.98,1.28,9.17,158.74,1.8333333333333333,276.4
Oil field brine,Qianjiang Formation 76,"Jianghan Basin, China",0.0555,0.05,110.83,1.08,0.39,9.71,165.22,0.9009009009009008,288.0
Oil field brine,Qianjiang Formation 77,"Jianghan Basin, China",0.02624,0.05452,121.648,0.7772,0.0911999999999999,22.284,180.034,2.0777439024390243,325.6078629492
Oil field brine,Qianjiang Formation 78,"Jianghan Basin, China",0.071,0.04,118.09,1.049,0.29,14.03,174.51,0.5633802816901409,309.1
Oil field brine,Qianjiang Formation 79,"Jianghan Basin, China",0.0306999999999999,0.0469,110.4608,1.01588,0.24464,24.5328,162.934,1.5276872964169383,299.8461695072
Oil field brine,Qianjiang Formation 80,"Jianghan Basin, China",0.02958,0.10324,71.9332,0.38826,0.33472,3.57966,105.2152,3.490196078431372,182.7035911448
Oil field brine,Qianjiang Formation 81,"Jianghan Basin, China",0.0275199999999999,0.05978,111.99,0.7720999999999999,0.13578,17.9076,161.45239999999998,2.172238372093024,293.41623842304
Oil field brine,Qianjiang Formation 82,"Jianghan Basin, China",0.0146,0.15288,78.7388,0.32988,0.18438,20.425200000000004,113.2904,10.471232876712328,213.50926222896
Oil field brine,Qianjiang Formation 83,"Jianghan Basin, China",0.04896,0.01998,92.2896,0.8119400000000001,0.10894,27.849599999999995,132.57,0.4080882352941176,255.194694094
Oil field brine,Qianjiang Formation 84,"Jianghan Basin, China",0.0506,0.02,128.21,1.848,0.21,20.8,184.0,0.3952569169960474,336.0
Oil field brine,Qianjiang Formation 85,"Jianghan Basin, China",0.02388,0.05388,118.6888,0.79772,0.1334199999999999,18.36,169.938,2.256281407035176,308.40881101592
Oil field brine,Qianjiang Formation 86,"Jianghan Basin, China",0.06,0.04,132.9,1.09,0.18,21.08,190.25,0.6666666666666667,347.0
Oil field brine,Qianjiang Formation 87,"Jianghan Basin, China",0.02806,0.0377599999999999,114.6292,0.7644799999999999,0.13314,21.5232,161.958,1.3456878118317888,300.2364632752
Oil field brine,Qianjiang Formation 88,"Jianghan Basin, China",0.03166,0.04154,95.6312,1.03062,0.26904,17.5836,134.2604,1.312065698041693,249.788073768
Oil field brine,Qianjiang Formation 89,"Jianghan Basin, China",0.02306,0.0633,130.9624,0.55836,0.03334,39.8352,183.1768,2.745013009540329,355.1622147535999
Oil field brine,Qianjiang Formation 90,"Jianghan Basin, China",0.0556799999999999,0.0227999999999999,119.348,1.4556999999999998,0.09642,24.4716,166.9264,0.4094827586206896,314.08684865048
Oil field brine,Qianjiang Formation 91,"Jianghan Basin, China",0.01812,0.0184,53.89640000000001,0.4978999999999999,0.1517599999999999,5.6802600000000005,75.2596,1.0154525386313469,136.37513639120002
Oil field brine,Qianjiang Formation 92,"Jianghan Basin, China",0.0284399999999999,0.0377,93.9312,0.9645,0.22424,16.2528,128.8212,1.3255977496483828,241.1194163912
Oil field brine,Qianjiang Formation 93,"Jianghan Basin, China",0.0303,0.01,61.93,0.444,0.18,10.4,83.4,0.33003300330033,158.8
Oil field brine,Qianjiang Formation 94,"Jianghan Basin, China",0.04022,0.02174,94.2672,1.85674,0.17134,27.651599999999995,125.256,0.5405271009448036,250.36948216072
Oil field brine,Qianjiang Formation 95,"Jianghan Basin, China",0.03176,0.0152,95.2212,1.93992,0.15812,7.9503,144.1084,0.4785894206549118,250.3936977028
Oil field brine,Qianjiang Formation 97,"Jianghan Basin, China",0.04552,0.11814,75.49239999999999,3.8527,1.3138599999999998,0.71772,132.02919999999995,2.5953427065026364,214.61093324488
Oil field brine,Qianjiang Formation 98,"Jianghan Basin, China",0.05574,0.1240199999999999,83.56040000000002,3.68232,1.4886799999999998,0.83628,145.27480000000003,2.22497308934338,236.15725940864004
Oil field brine,Qianjiang Formation 99,"Jianghan Basin, China",0.08462,0.18492,86.62759999999999,3.1999,1.8456,1.30326,150.0124,2.185298983691799,244.34724445792
